subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,cZI,L,282,97.212090,-13.384992,-3.959397,-25.532961,1243.868794,88.967349
sub-C002,cZI,L,271,93.420120,-10.155740,-15.776793,-45.847411,1212.468635,76.409702
sub-C003,cZI,L,255,87.903587,-6.721844,-19.315618,-22.907352,1276.349020,94.777317
sub-C004,cZI,L,263,90.662331,-12.538042,-12.146402,-37.804946,1274.460076,89.509122
sub-C005,cZI,L,238,82.044243,-10.024102,-13.336284,-20.695765,1310.693277,86.845675
sub-C006,cZI,L,204,70.323639,-9.889788,-7.443727,-18.754454,1275.147059,87.624355
sub-C007,cZI,L,224,77.217270,-2.908238,-11.093622,-52.245809,1205.093750,79.218748
sub-C008,cZI,L,265,91.351791,-11.732931,-15.438833,-18.792241,1292.758491,81.635334
sub-C009,cZI,L,291,100.314598,-12.892860,-8.683386,-22.153296,1259.429553,81.007988
sub-C010,cZI,L,230,79.285591,-10.544214,-16.099466,-49.264530,1249.356522,76.253907
sub-C011,cZI,L,269,92.729668,-10.697937,-19.380998,-30.221234,1330.048327,105.677459
sub-C012,cZI,L,231,79.631172,-8.971778,-19.124235,-30.591524,1300.307359,89.745078
sub-C013,cZI,L,256,88.249275,-10.932610,-11.913410,-23.483410,1265.542969,71.771520
sub-C015,cZI,L,245,84.457314,-10.305698,-26.558992,-13.733829,1301.073469,84.306201
sub-C016,cZI,L,234,80.665344,-12.783070,-9.106936,-17.565366,1354.846154,100.318259
sub-C018,cZI,L,239,82.388962,-8.275889,-21.404336,-14.150729,1253.326360,89.768904
sub-C019,cZI,L,268,92.385948,-12.637157,-18.984508,-24.590324,1308.253731,93.227456
sub-C020,cZI,L,247,85.145828,-7.780725,-15.138326,-21.002866,1220.801619,88.551103
sub-C021,cZI,L,254,87.559822,-10.635616,-16.124909,-10.213011,1271.933071,82.427639
sub-C022,cZI,L,226,77.906708,-10.305965,-13.769528,-48.406112,1238.066372,79.430081
sub-C023,cZI,L,246,84.802032,-8.761679,-14.800115,-29.086027,1307.215447,106.807964
sub-C024,cZI,L,269,92.729668,-8.630656,-15.735124,-19.042727,1305.159851,88.633493
sub-C025,cZI,L,239,82.388069,-8.166563,-25.401162,-27.874824,1236.627615,84.402742
sub-C026,cZI,L,246,84.802032,-11.374672,-15.994089,-18.461941,1296.723577,82.419316
sub-C027,cZI,L,231,79.631172,-11.277854,-18.166631,-21.497446,1276.952381,88.260299
sub-C028,cZI,L,242,83.422234,-10.961697,-17.877276,-40.673768,1272.380165,80.740531
sub-C029,cZI,L,306,105.485458,-10.269206,-12.946292,-48.409501,1229.101307,157.252724
sub-C030,cZI,L,254,87.559822,-7.224542,-9.957403,-23.304629,1282.811024,73.751557
sub-C031,cZI,L,307,105.830177,-13.297174,-17.844323,-41.283689,1264.472313,146.433443
sub-C032,cZI,L,242,83.423134,-8.956348,-20.978680,-34.711787,1252.475207,77.803571
sub-C033,cZI,L,259,89.282471,-11.371687,-18.520715,-15.027397,1311.768340,80.792732
sub-C034,cZI,L,279,96.176865,-11.233379,-24.011598,-16.739082,1251.931900,70.466832
sub-C001,cZI,R,262,90.317612,13.390420,-3.403856,-25.968028,1244.393130,102.471013
sub-C002,cZI,R,248,85.491478,13.691921,-15.772355,-46.382007,1246.963710,81.025229
sub-C003,cZI,R,217,74.804230,17.727993,-17.752367,-20.695637,1313.359447,96.389737
sub-C004,cZI,R,236,81.354797,14.124161,-11.467226,-36.887989,1305.059322,86.253885
